City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,honefoss,60.168,10.2565,2.96,99,100,1.83,NO,1699543715
342,fale old settlement,-9.3852,-171.2468,28.43,73,100,2.02,TK,1699543301
343,al muwayh,22.4333,41.7583,26.27,25,26,4.36,SA,1699543715
344,fort bragg,35.139,-79.006,21.39,64,100,4.63,US,1699543359
345,geraldton,-28.7667,114.6,19.23,72,100,9.77,AU,1699543160
346,ancud,-41.8697,-73.8203,12.09,58,43,1.73,CL,1699543320
347,santana,-0.0583,-51.1817,34.1,55,40,6.17,BR,1699543391
348,monrovia,6.3005,-10.7969,29.87,72,60,3.52,LR,1699543717
349,iskateley,67.6803,53.1512,0.57,100,100,4.02,RU,1699543341
350,urengoy,65.9667,78.3667,-3.41,88,100,8.59,RU,1699543717
351,banamba,13.55,-7.45,36.58,15,94,2.15,ML,1699543717
352,manismata,-2.4667,111.0333,23.99,96,96,0.39,ID,1699543718
353,kiama,-34.6833,150.8667,17.54,92,98,0.89,AU,1699543718
354,yeniseysk,58.4497,92.1703,-8.36,70,6,4.02,RU,1699543718
355,ungsang-nodongjagu,42.3578,130.4622,0.72,58,44,11.96,KP,1699543719
356,andergrove,-21.0833,149.1833,18.69,73,1,3.19,AU,1699543719
357,timbuktu,16.7735,-3.0074,34.8,11,1,3.03,ML,1699543258
358,kivertsi,50.8343,25.4582,8.41,71,10,3.19,UA,1699543719
359,la mira,18.035,-102.3266,27.14,78,74,1.35,MX,1699543720
360,alice springs,-23.7,133.8833,18.75,48,76,0.0,AU,1699543344
